Owner,x,y,z
Pchulo-19,654,-50,-34
Aurix_Darastrix,-904,-119,1441
William,-1612,-8,1446
Moonflower,1156,-73,-1517
Lofblad,1481,66,-1349
LightningRadiant,1595,-97,156
BadPunZ,-373,-77,1873
EliasNievaP the walker,-1703,97,-388
MoonWatcher75,1047,-122,-483
Dreamfly,352,-61,664
Ripthedead,-386,-97,-104
Rinh'a,1391,-65,-1865
Calix,437,-20,82
Geodatan,-709,93,1170
AztecaMx,1774,-80,181
7101334,-1429,73,213
Sleepycadet,-973,-37,-489
YourBasicMaths,237,-30,1756
SisyphusMex,542,-91,1026
RetroTerrestrial,1445,47,-428
Lindwur,-201,71,-777
Jordan,-450,-73,1948
Jaina Siderea,-1675,-16,970
Kadaveda,-1810,22,-2039
Hawk-Night,-805,18,1384
Dave,1190,-104,280
JustiFox,935,-1,1098
MountTheRainbow,-312,95,-857
Lauris,-1794,1,-1406
Taurtura,-1321,-76,860
Lamb,-900,-80,-1226
AdaRynin,-610,-75,1546
SkullyTheSkully,-1174,-33,286
MamieLinba,-314,-122,-581
Travars,168,-122,-1294
TheWingCommander,1086,12,-1601
Javtron91,96,18,-1113
Had,-1114,96,-896
AshkerNMS,-567,53,1276
CartoonHead,-1358,26,672
Toddumptious,-751,-10,1893
TomAcreon,1806,94,1912
Andrew,1608,-5,-1679
Frazzlesprite,-509,99,36
Cattivision,477,-91,-166
Lachlaan,225,-92,1642
Blindvador,-1718,-8,-993
Falkon,1335,-13,1756
Vau1t,-1925,-124,515
Melanon68,-1144,-101,1815
Fort_wort_wort,-568,-22,861
JustJoey,671,-38,481
SCHOLAE,911,78,112
Selfie Gek,1560,-102,-626
Ory,-1681,73,1877
Ekpyroto,1059,37,1623
Stu,61,-13,751
CrossID,-18,124,871
BenR,630,104,-1774
Gumsk,-1935,2,-584
Ozoto,-1447,24,1934
Jenness,514,63,-958
ThatBomberBoi,1171,-30,956
Spock,264,-126,854
Singular Gleam,317,49,1862
Turbulentflow,-373,-13,949
Spiderweb333,-1728,56,793
The Poet,-2027,-115,-53
